Source,Target,Type,Label,Weight
156276864,430303668,Undirected,,1
156276864,455738115,Undirected,,1
156276864,540142126,Undirected,,1
156276864,626814354,Undirected,,1
430303668,7045475,Undirected,,1
430303668,76557194,Undirected,,1
430303668,83100792,Undirected,,1
430303668,104507745,Undirected,,1
430303668,116173722,Undirected,,1
430303668,132488868,Undirected,,1
430303668,134154469,Undirected,,1
430303668,139526196,Undirected,,1
430303668,142251641,Undirected,,1
430303668,159312047,Undirected,,1
430303668,161187955,Undirected,,1
430303668,162258257,Undirected,,1
430303668,164141274,Undirected,,1
430303668,175297192,Undirected,,1
430303668,177892412,Undirected,,1
430303668,182022463,Undirected,,1
430303668,183164574,Undirected,,1
430303668,187280105,Undirected,,1
430303668,188584195,Undirected,,1
430303668,188695511,Undirected,,1
430303668,191419564,Undirected,,1
430303668,192027816,Undirected,,1
430303668,192835797,Undirected,,1
430303668,199421367,Undirected,,1
430303668,212426402,Undirected,,1
430303668,226329423,Undirected,,1
430303668,226932750,Undirected,,1
430303668,228961859,Undirected,,1
430303668,230221785,Undirected,,1
430303668,230695724,Undirected,,1
430303668,231396193,Undirected,,1
430303668,231975013,Undirected,,1
430303668,232258886,Undirected,,1
430303668,240755995,Undirected,,1
430303668,251415213,Undirected,,1
430303668,263659149,Undirected,,1
430303668,265664385,Undirected,,1
430303668,271028435,Undirected,,1
430303668,273044801,Undirected,,1
430303668,288258662,Undirected,,1
430303668,316155631,Undirected,,1
430303668,327954205,Undirected,,1
430303668,349026874,Undirected,,1
430303668,350869377,Undirected,,1
430303668,351204001,Undirected,,1
430303668,378490100,Undirected,,1
430303668,389037709,Undirected,,1
430303668,399765404,Undirected,,1
430303668,436853573,Undirected,,1
430303668,455738115,Undirected,,1
430303668,680590103,Undirected,,1
430303668,707642929,Undirected,,1
430303668,813991089,Undirected,,1
186654805,898891,Undirected,,1
186654805,1155515,Undirected,,1
186654805,1240629,Undirected,,1
186654805,2142561,Undirected,,1
186654805,2234618,Undirected,,1
186654805,5968255,Undirected,,1
186654805,6445346,Undirected,,1
186654805,8886119,Undirected,,1
186654805,10259413,Undirected,,1
186654805,14135828,Undirected,,1
186654805,16363583,Undirected,,1
186654805,18052568,Undirected,,1
186654805,18581747,Undirected,,1
186654805,20521983,Undirected,,1
186654805,22353583,Undirected,,1
186654805,25729445,Undirected,,1
186654805,29602581,Undirected,,1
186654805,30480217,Undirected,,1
186654805,30699472,Undirected,,1
186654805,34392942,Undirected,,1
186654805,36431928,Undirected,,1
186654805,37335049,Undirected,,1
186654805,38822888,Undirected,,1
186654805,49752480,Undirected,,1
186654805,51247643,Undirected,,1
